Examens,Sujet,Nom,Prénom,Matiere,Lycée,Surveillant,Date
1,Examen Ier Trimestre;1,Murphy,Lawrence,Math;1,Notre Dame de toutes Aides;3,Pauline Boulay	;3,2016-01-16 07:30:47
2,Examen 3eme Trimestre;3,Boyer,Lisa,Anglais;4,Chavagne;2,Marguerite Michel;8,2016-06-03 07:13:01
3,Examen 2eme Trimestre;2,Erickson,Anna,Francais;5,Notre Dame de toutes Aides;3,Sophie Parent;11,2002-12-15 12:35:23
4,Examen 2eme Trimestre;2,Solis,Kevin,Allemand;3,Lycée Clemenceau;5Lycée Saint Stanislas;6,Marguerite Michel;8,1988-10-09 09:30:14
5,Examen 2eme Trimestre;2,Smith,Gary,Allemand;3,Notre Dame de toutes Aides;3,Daniel Bertin-Martin;5,1971-11-25 06:23:37
6,Examen 3eme Trimestre;3,Williams,Joseph,Math;1,La Perverie;4,Théophile-Michel Renault;12,1991-04-25 19:36:05
7,Examen 3eme Trimestre;3,Wilson,Anthony,Francais;5,Chavagne;2,Jacqueline de Bruneau;7,1983-11-15 11:40:14
8,Examen 2eme Trimestre;2,Smith,Nicole,Allemand;3,Lycée Clemenceau;5Lycée Saint Stanislas;6,Marcel Didier;10,1981-03-06 10:54:13
9,Examen 3eme Trimestre;3,Daniels,David,Francais;5,Notre Dame de toutes Aides;3,Théophile-Michel Renault;12,1979-11-29 02:53:18
10,Examen 3eme Trimestre;3,Jefferson,Julia,Hist-Géo;2,Loquidy;1,Augustin Gauthier-Allard;9,2002-06-17 10:00:41
11,Examen Ier Trimestre;1,Hill,Virginia,Allemand;3,Lycée Clemenceau;5Lycée Saint Stanislas;6,Jacqueline de Bruneau;7,1982-03-31 04:59:39
12,Examen 3eme Trimestre;3,Zamora,Laura,Anglais;4,La Perverie;4,Juliette Renault;13,1997-07-29 22:43:35
13,Examen Ier Trimestre;1,Marquez,Wesley,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Pauline Boulay	;3,1975-05-24 02:11:48
14,Examen 2eme Trimestre;2,Ramsey,Tammy,Allemand;3,La Perverie;4,Corinne du Gaillard;1,2014-08-21 13:38:20
15,Examen Ier Trimestre;1,Welch,Andrew,Hist-Géo;2,Lycée Clemenceau;5Lycée Saint Stanislas;6,Corinne du Gaillard;1,1990-12-22 16:43:35
16,Examen Ier Trimestre;1,Bishop,Joseph,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Daniel Bertin-Martin;5,1992-01-15 21:17:23
17,Examen Ier Trimestre;1,Reed,Isaac,Allemand;3,Loquidy;1,Théophile-Michel Renault;12,2007-01-14 00:28:58
18,Examen 3eme Trimestre;3,Wood,Danny,Allemand;3,La Perverie;4,Eleonore Leroy Le Giraud;14,1999-04-24 18:55:37
19,Examen Ier Trimestre;1,Dawson,Brenda,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Théophile-Michel Renault;12,2013-01-28 21:14:48
20,Examen Ier Trimestre;1,Rodriguez,Nathan,Hist-Géo;2,Notre Dame de toutes Aides;3,Juliette Renault;13,2025-03-11 22:57:10
21,Examen 3eme Trimestre;3,Pace,Mary,Allemand;3,Lycée Clemenceau;5Lycée Saint Stanislas;6,Juliette Renault;13,1987-12-02 08:35:19
22,Examen 2eme Trimestre;2,Ramsey,Sarah,Math;1,La Perverie;4,Pauline Boulay	;3,1973-11-13 13:02:53
23,Examen Ier Trimestre;1,Callahan,Kayla,Allemand;3,Chavagne;2,Juliette Renault;13,1993-11-20 05:22:00
24,Examen 3eme Trimestre;3,Conner,Joshua,Hist-Géo;2,Chavagne;2,Eleonore Leroy Le Giraud;14,2022-06-29 10:37:06
25,Examen 2eme Trimestre;2,Cooper,Anthony,Francais;5,Lycée Clemenceau;5Lycée Saint Stanislas;6,Marguerite Michel;8,2017-10-28 03:26:43
26,Examen 3eme Trimestre;3,Ochoa,Elizabeth,Math;1,Chavagne;2,Augustin Gauthier-Allard;9,1987-09-08 02:00:08
27,Examen Ier Trimestre;1,Brown,David,Hist-Géo;2,Loquidy;1,Augustin Gauthier-Allard;9,1992-01-27 16:36:10
28,Examen 2eme Trimestre;2,Preston,Christine,Anglais;4,Notre Dame de toutes Aides;3,Marguerite Michel;8,1997-05-13 10:35:19
29,Examen Ier Trimestre;1,Everett,David,Allemand;3,Notre Dame de toutes Aides;3,Pauline Boulay	;3,1975-02-13 19:06:10
30,Examen 3eme Trimestre;3,Williams,Erica,Francais;5,Notre Dame de toutes Aides;3,Juliette Renault;13,2005-06-27 01:26:17
31,Examen 3eme Trimestre;3,Cabrera,Lonnie,Francais;5,Chavagne;2,Marcel Didier;10,2015-09-20 11:27:51
32,Examen 3eme Trimestre;3,Proctor,Lori,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Juliette Renault;13,2021-07-03 18:35:45
33,Examen Ier Trimestre;1,Jones,Matthew,Anglais;4,Notre Dame de toutes Aides;3,Corinne du Gaillard;1,1988-07-12 00:21:47
34,Examen 2eme Trimestre;2,Morris,Miguel,Hist-Géo;2,La Perverie;4,Corinne du Gaillard;1,1994-12-14 20:44:52
35,Examen 2eme Trimestre;2,Anderson,Gilbert,Anglais;4,La Perverie;4,Juliette Renault;13,1973-12-22 10:23:29
36,Examen 3eme Trimestre;3,Roberts,Christopher,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Théophile-Michel Renault;12,1983-07-07 13:12:52
37,Examen 2eme Trimestre;2,Carter,Jennifer,Francais;5,La Perverie;4,Daniel Bertin-Martin;5,1994-09-23 07:08:45
38,Examen 2eme Trimestre;2,Keller,Diana,Anglais;4,Notre Dame de toutes Aides;3,Marguerite Michel;8,2023-12-27 16:19:00
39,Examen Ier Trimestre;1,Zimmerman,Taylor,Anglais;4,La Perverie;4,Marcel Didier;10,2016-09-12 03:25:21
40,Examen Ier Trimestre;1,Sanford,Virginia,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Théophile-Michel Renault;12,1970-08-20 09:49:26
41,Examen 2eme Trimestre;2,Jones,Dawn,Hist-Géo;2,Notre Dame de toutes Aides;3,Juliette Renault;13,1971-08-30 23:33:39
42,Examen 2eme Trimestre;2,Jacobs,Ann,Allemand;3,Loquidy;1,Emmanuel Fernandes-Lopez	;	2	,2003-12-04 03:02:53
43,Examen Ier Trimestre;1,Carroll,Chad,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Daniel Bertin-Martin;5,2015-07-03 01:30:35
44,Examen 3eme Trimestre;3,Hernandez,Samuel,Francais;5,Lycée Clemenceau;5Lycée Saint Stanislas;6,Thibaut Boulay;6,2014-12-11 17:19:42
45,Examen 2eme Trimestre;2,Morales,Victor,Anglais;4,Notre Dame de toutes Aides;3,Corinne du Gaillard;1,1972-01-11 22:18:17
46,Examen 2eme Trimestre;2,Howe,Andrew,Hist-Géo;2,Chavagne;2,Sophie Parent;11,2011-12-15 15:02:25
47,Examen 2eme Trimestre;2,Reed,Melissa,Anglais;4,La Perverie;4,Théophile-Michel Renault;12,1984-12-17 05:55:02
48,Examen 2eme Trimestre;2,Mills,Brent,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Pauline Boulay	;3,1980-09-22 23:18:27
49,Examen Ier Trimestre;1,Pittman,Natalie,Math;1,Loquidy;1,Daniel Bertin-Martin;5,2002-09-26 12:14:02
50,Examen Ier Trimestre;1,Curtis,Courtney,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Juliette Renault;13,1992-06-26 14:56:22
51,Examen 2eme Trimestre;2,Martinez,Timothy,Francais;5,La Perverie;4,Emmanuel Fernandes-Lopez	;	2	,1970-08-05 08:16:19
52,Examen 3eme Trimestre;3,Brooks,Meghan,Hist-Géo;2,Lycée Clemenceau;5Lycée Saint Stanislas;6,Raymond-Philippe Bernard;4,2012-06-25 17:22:52
53,Examen 3eme Trimestre;3,Harrison,Mitchell,Math;1,Loquidy;1,Emmanuel Fernandes-Lopez	;	2	,1994-10-14 08:21:37
54,Examen 2eme Trimestre;2,Turner,Angela,Hist-Géo;2,Loquidy;1,Eleonore Leroy Le Giraud;14,1997-05-30 17:32:10
55,Examen 2eme Trimestre;2,Rodriguez,Jesse,Francais;5,La Perverie;4,Eleonore Leroy Le Giraud;14,2004-02-14 05:05:01
56,Examen 2eme Trimestre;2,Perkins,Keith,Allemand;3,Loquidy;1,Emmanuel Fernandes-Lopez	;	2	,2012-09-21 06:36:03
57,Examen 3eme Trimestre;3,Montoya,Christina,Hist-Géo;2,Notre Dame de toutes Aides;3,Raymond-Philippe Bernard;4,1992-12-12 03:33:08
58,Examen 2eme Trimestre;2,Mora,James,Hist-Géo;2,Lycée Clemenceau;5Lycée Saint Stanislas;6,Augustin Gauthier-Allard;9,2018-09-26 13:48:34
59,Examen Ier Trimestre;1,Wells,Cynthia,Anglais;4,Loquidy;1,Daniel Bertin-Martin;5,1970-10-19 10:38:01
60,Examen Ier Trimestre;1,Moore,Lisa,Francais;5,Lycée Clemenceau;5Lycée Saint Stanislas;6,Juliette Renault;13,2021-10-13 22:34:47
61,Examen Ier Trimestre;1,Bartlett,Christopher,Francais;5,La Perverie;4,Sophie Parent;11,1988-03-18 16:40:31
62,Examen 2eme Trimestre;2,Ramos,Miranda,Math;1,La Perverie;4,Théophile-Michel Renault;12,2022-03-27 02:31:08
63,Examen 2eme Trimestre;2,Wallace,Karen,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Pauline Boulay	;3,1988-08-09 09:51:07
64,Examen Ier Trimestre;1,Carter,Kimberly,Allemand;3,Notre Dame de toutes Aides;3,Corinne du Gaillard;1,1974-07-15 20:45:43
65,Examen Ier Trimestre;1,Moody,Kevin,Hist-Géo;2,Notre Dame de toutes Aides;3,Augustin Gauthier-Allard;9,1998-04-05 01:10:40
